,from_name,from,to_name,to,P
3457,ADELAIDE,"[138.27534333333332, -34.85884333333333]",CHIWAN,"[113.8946, 22.455883333333333]",0.002855692
3458,ADELAIDE,"[138.27534333333332, -34.85884333333333]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000371911
3459,ADELAIDE,"[138.27534333333332, -34.85884333333333]",NINGBO,"[121.89526166666667, 29.93238]",0.00258524
3460,NAGASAKI,"[129.72133333333332, 32.5047]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",1.85E-07
3461,NAGASAKI,"[129.72133333333332, 32.5047]",XINGANG,"[113.50651666666667, 23.054016666666666]",1.66E-05
3462,NAGASAKI,"[129.72133333333332, 32.5047]",DALIAN,"[121.98408, 38.90600333333333]",1.18E-05
3463,NAGASAKI,"[129.72133333333332, 32.5047]",ZHOUSHAN,"[122.10661333333333, 29.904]",1.27E-05
3464,NAGASAKI,"[129.72133333333332, 32.5047]",QINGDAO,"[120.25705666666667, 36.08946666666667]",5.70E-06
3465,NAGASAKI,"[129.72133333333332, 32.5047]",HUMEN,"[113.56296666666667, 22.871695]",1.03E-05
3466,NAGASAKI,"[129.72133333333332, 32.5047]",BAOSHAN,"[121.4827, 31.446695]",8.00E-07
3467,NAGASAKI,"[129.72133333333332, 32.5047]",YANTIAN,"[114.26794666666666, 22.57345]",4.84E-06
3468,NAGASAKI,"[129.72133333333332, 32.5047]",SHANGHAI,"[121.7305, 31.308273333333332]",4.79E-06
3469,NAGASAKI,"[129.72133333333332, 32.5047]",CHIWAN,"[113.8946, 22.455883333333333]",0.000103448
3470,NAGASAKI,"[129.72133333333332, 32.5047]",NANSHA,"[113.68256166666667, 22.643306666666668]",2.09E-05
3471,NAGASAKI,"[129.72133333333332, 32.5047]",NINGBO,"[121.89526166666667, 29.93238]",3.94E-06
3472,JURONG,"[104.04649, 1.3048566666666668]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.002746736
3473,JURONG,"[104.04649, 1.3048566666666668]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",0.001416787
3474,JURONG,"[104.04649, 1.3048566666666668]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.008350445
3475,JURONG,"[104.04649, 1.3048566666666668]",XINSHA,"[113.545415, 22.974033333333335]",0.007168886
3476,JURONG,"[104.04649, 1.3048566666666668]",DALIAN,"[121.98408, 38.90600333333333]",0.023797592
3477,JURONG,"[104.04649, 1.3048566666666668]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.090160138
3478,JURONG,"[104.04649, 1.3048566666666668]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.032966093
3479,JURONG,"[104.04649, 1.3048566666666668]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.06966858
3480,JURONG,"[104.04649, 1.3048566666666668]",HUMEN,"[113.56296666666667, 22.871695]",0.000406317
3481,JURONG,"[104.04649, 1.3048566666666668]",BAOSHAN,"[121.4827, 31.446695]",0.00654552
3482,JURONG,"[104.04649, 1.3048566666666668]",YANTIAN,"[114.26794666666666, 22.57345]",0.015542165
3483,JURONG,"[104.04649, 1.3048566666666668]",GUANGZHOU,"[113.43307, 23.090493333333335]",0.000471208
3484,JURONG,"[104.04649, 1.3048566666666668]",SHANGHAI,"[121.7305, 31.308273333333332]",0.082520634
3485,JURONG,"[104.04649, 1.3048566666666668]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.016215829
3486,JURONG,"[104.04649, 1.3048566666666668]",CHIWAN,"[113.8946, 22.455883333333333]",0.044370986
3487,JURONG,"[104.04649, 1.3048566666666668]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.018794051
3488,JURONG,"[104.04649, 1.3048566666666668]",NINGBO,"[121.89526166666667, 29.93238]",0.074334507
3489,ENNORE,"[80.512235, 13.194405]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",6.02E-05
3490,ENNORE,"[80.512235, 13.194405]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",6.15E-05
3491,ENNORE,"[80.512235, 13.194405]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000728085
3492,ENNORE,"[80.512235, 13.194405]",XINSHA,"[113.545415, 22.974033333333335]",0.000507346
3493,ENNORE,"[80.512235, 13.194405]",DALIAN,"[121.98408, 38.90600333333333]",0.000393935
3494,ENNORE,"[80.512235, 13.194405]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.001454274
3495,ENNORE,"[80.512235, 13.194405]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000364257
3496,ENNORE,"[80.512235, 13.194405]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.00381215
3497,ENNORE,"[80.512235, 13.194405]",BAOSHAN,"[121.4827, 31.446695]",0.002585175
3498,ENNORE,"[80.512235, 13.194405]",YANTIAN,"[114.26794666666666, 22.57345]",0.001666319
3499,ENNORE,"[80.512235, 13.194405]",GUANGZHOU,"[113.43307, 23.090493333333335]",6.02E-05
3500,ENNORE,"[80.512235, 13.194405]",SHANGHAI,"[121.7305, 31.308273333333332]",0.007029617
3501,ENNORE,"[80.512235, 13.194405]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.003449096
3502,ENNORE,"[80.512235, 13.194405]",CHIWAN,"[113.8946, 22.455883333333333]",0.002241837
3503,ENNORE,"[80.512235, 13.194405]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.001889755
3504,ENNORE,"[80.512235, 13.194405]",NINGBO,"[121.89526166666667, 29.93238]",0.001332429
3505,CUL DE SAC BAY,"[-61.01817166666667, 13.98429]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.00013165
3506,CUL DE SAC BAY,"[-61.01817166666667, 13.98429]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",5.62E-05
3507,CUL DE SAC BAY,"[-61.01817166666667, 13.98429]",QINGDAO,"[120.25705666666667, 36.08946666666667]",1.67E-05
3508,CUL DE SAC BAY,"[-61.01817166666667, 13.98429]",SHANGHAI,"[121.7305, 31.308273333333332]",7.23E-05
3509,JINGTANG,"[119.08428, 39.24267666666667]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.000218791
3510,JINGTANG,"[119.08428, 39.24267666666667]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",2.81E-05
3511,JINGTANG,"[119.08428, 39.24267666666667]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000310619
3512,JINGTANG,"[119.08428, 39.24267666666667]",XINSHA,"[113.545415, 22.974033333333335]",0.000212925
3513,JINGTANG,"[119.08428, 39.24267666666667]",DALIAN,"[121.98408, 38.90600333333333]",2.06E-07
3514,JINGTANG,"[119.08428, 39.24267666666667]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000163132
3515,JINGTANG,"[119.08428, 39.24267666666667]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",8.78E-06
3516,JINGTANG,"[119.08428, 39.24267666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.26E-06
3517,JINGTANG,"[119.08428, 39.24267666666667]",HUMEN,"[113.56296666666667, 22.871695]",0.000271803
3518,JINGTANG,"[119.08428, 39.24267666666667]",BAOSHAN,"[121.4827, 31.446695]",2.29E-05
3519,JINGTANG,"[119.08428, 39.24267666666667]",YANTIAN,"[114.26794666666666, 22.57345]",3.53E-05
3520,JINGTANG,"[119.08428, 39.24267666666667]",GUANGZHOU,"[113.43307, 23.090493333333335]",5.30E-06
3521,JINGTANG,"[119.08428, 39.24267666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000353714
3522,JINGTANG,"[119.08428, 39.24267666666667]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",1.56E-05
3523,JINGTANG,"[119.08428, 39.24267666666667]",CHIWAN,"[113.8946, 22.455883333333333]",0.000621413
3524,JINGTANG,"[119.08428, 39.24267666666667]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.00128739
3525,JINGTANG,"[119.08428, 39.24267666666667]",NINGBO,"[121.89526166666667, 29.93238]",0.000123438
3526,APRA,"[144.66112, 13.456906666666667]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",5.25E-06
3527,APRA,"[144.66112, 13.456906666666667]",DALIAN,"[121.98408, 38.90600333333333]",1.97E-05
3528,APRA,"[144.66112, 13.456906666666667]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000351513
3529,APRA,"[144.66112, 13.456906666666667]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",5.66E-05
3530,APRA,"[144.66112, 13.456906666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",1.24E-05
3531,APRA,"[144.66112, 13.456906666666667]",YANTIAN,"[114.26794666666666, 22.57345]",0.000532398
3532,APRA,"[144.66112, 13.456906666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",0.001206039
3533,APRA,"[144.66112, 13.456906666666667]",CHIWAN,"[113.8946, 22.455883333333333]",0.001602107
3534,APRA,"[144.66112, 13.456906666666667]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000140963
3535,APRA,"[144.66112, 13.456906666666667]",NINGBO,"[121.89526166666667, 29.93238]",0.001685771
3536,BELFAST,"[-5.911033333333333, 54.610935]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",6.33E-05
3537,BELFAST,"[-5.911033333333333, 54.610935]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000257056
3538,BELFAST,"[-5.911033333333333, 54.610935]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000178875
3539,BELFAST,"[-5.911033333333333, 54.610935]",CHIWAN,"[113.8946, 22.455883333333333]",0.000200069
3540,CHANARAL,"[-70.63818666666667, -26.350506666666668]",XINSHA,"[113.545415, 22.974033333333335]",0.000178993
3541,CHANARAL,"[-70.63818666666667, -26.350506666666668]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000159783
3542,CHANARAL,"[-70.63818666666667, -26.350506666666668]",SHANGHAI,"[121.7305, 31.308273333333332]",8.56E-05
3543,CHANARAL,"[-70.63818666666667, -26.350506666666668]",CHIWAN,"[113.8946, 22.455883333333333]",0.00026753
3544,TENES,"[1.2850966666666668, 36.52636666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",1.18E-06
3545,TENES,"[1.2850966666666668, 36.52636666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",1.38E-06
3546,FLENSBURG,"[9.436533333333333, 54.79943333333333]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000164231
3547,NOSHIRO,"[140.00261333333333, 40.211733333333335]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",8.34E-06
3548,NOSHIRO,"[140.00261333333333, 40.211733333333335]",XINGANG,"[113.50651666666667, 23.054016666666666]",2.14E-05
3549,NOSHIRO,"[140.00261333333333, 40.211733333333335]",DALIAN,"[121.98408, 38.90600333333333]",1.82E-05
3550,NOSHIRO,"[140.00261333333333, 40.211733333333335]",ZHOUSHAN,"[122.10661333333333, 29.904]",3.78E-05
3551,NOSHIRO,"[140.00261333333333, 40.211733333333335]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.72E-05
3552,NOSHIRO,"[140.00261333333333, 40.211733333333335]",HUMEN,"[113.56296666666667, 22.871695]",1.35E-05
3553,NOSHIRO,"[140.00261333333333, 40.211733333333335]",BAOSHAN,"[121.4827, 31.446695]",1.81E-05
3554,NOSHIRO,"[140.00261333333333, 40.211733333333335]",SHANGHAI,"[121.7305, 31.308273333333332]",5.92E-05
3555,NOSHIRO,"[140.00261333333333, 40.211733333333335]",CHIWAN,"[113.8946, 22.455883333333333]",6.36E-05
3556,NOSHIRO,"[140.00261333333333, 40.211733333333335]",NINGBO,"[121.89526166666667, 29.93238]",4.71E-06
3557,HANSTHOLM,"[8.595636666666667, 57.11876]",ZHOUSHAN,"[122.10661333333333, 29.904]",6.17E-05
3558,HANSTHOLM,"[8.595636666666667, 57.11876]",YANTIAN,"[114.26794666666666, 22.57345]",6.18E-05
3559,SKIKDA,"[6.90912, 37.08672]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",1.78E-05
3560,SKIKDA,"[6.90912, 37.08672]",XINGANG,"[113.50651666666667, 23.054016666666666]",1.78E-05
3561,SKIKDA,"[6.90912, 37.08672]",DALIAN,"[121.98408, 38.90600333333333]",4.89E-06
3562,SKIKDA,"[6.90912, 37.08672]",ZHOUSHAN,"[122.10661333333333, 29.904]",8.48E-05
3563,SKIKDA,"[6.90912, 37.08672]",QINGDAO,"[120.25705666666667, 36.08946666666667]",2.73E-06
3564,SKIKDA,"[6.90912, 37.08672]",SHANGHAI,"[121.7305, 31.308273333333332]",1.24E-05
3565,SKIKDA,"[6.90912, 37.08672]",CHIWAN,"[113.8946, 22.455883333333333]",0.000194706
3566,SKIKDA,"[6.90912, 37.08672]",NANSHA,"[113.68256166666667, 22.643306666666668]",5.16E-05
3567,SKIKDA,"[6.90912, 37.08672]",NINGBO,"[121.89526166666667, 29.93238]",3.83E-05
3568,BIAK,"[136.11333333333334, -1.2026333333333334]",QINGDAO,"[120.25705666666667, 36.08946666666667]",8.33E-06
3569,BIAK,"[136.11333333333334, -1.2026333333333334]",SHANGHAI,"[121.7305, 31.308273333333332]",3.86E-05
3570,LONG BEACH,"[-118.19679, 33.740808333333334]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",0.000138452
3571,LONG BEACH,"[-118.19679, 33.740808333333334]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",0.000259562
3572,LONG BEACH,"[-118.19679, 33.740808333333334]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000425276
3573,LONG BEACH,"[-118.19679, 33.740808333333334]",XINSHA,"[113.545415, 22.974033333333335]",0.000825552
3574,LONG BEACH,"[-118.19679, 33.740808333333334]",DALIAN,"[121.98408, 38.90600333333333]",0.000778305
3575,LONG BEACH,"[-118.19679, 33.740808333333334]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.018122406
3576,LONG BEACH,"[-118.19679, 33.740808333333334]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.020432265
3577,LONG BEACH,"[-118.19679, 33.740808333333334]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.013490028
3578,LONG BEACH,"[-118.19679, 33.740808333333334]",BAOSHAN,"[121.4827, 31.446695]",0.001219966
3579,LONG BEACH,"[-118.19679, 33.740808333333334]",YANTIAN,"[114.26794666666666, 22.57345]",0.027154396
3580,LONG BEACH,"[-118.19679, 33.740808333333334]",SHANGHAI,"[121.7305, 31.308273333333332]",0.028526436
3581,LONG BEACH,"[-118.19679, 33.740808333333334]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.01656737
3582,LONG BEACH,"[-118.19679, 33.740808333333334]",CHIWAN,"[113.8946, 22.455883333333333]",0.009085969
3583,LONG BEACH,"[-118.19679, 33.740808333333334]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.012891713
3584,LONG BEACH,"[-118.19679, 33.740808333333334]",NINGBO,"[121.89526166666667, 29.93238]",0.035752454
3585,KENDARI,"[122.517305, -3.830268333333333]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",1.33E-05
3586,KENDARI,"[122.517305, -3.830268333333333]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",3.10E-05
3587,KENDARI,"[122.517305, -3.830268333333333]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000130954
3588,KENDARI,"[122.517305, -3.830268333333333]",XINSHA,"[113.545415, 22.974033333333335]",4.80E-05
3589,KENDARI,"[122.517305, -3.830268333333333]",DALIAN,"[121.98408, 38.90600333333333]",5.92E-05
3590,KENDARI,"[122.517305, -3.830268333333333]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000450895
3591,KENDARI,"[122.517305, -3.830268333333333]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000225361
3592,KENDARI,"[122.517305, -3.830268333333333]",HUMEN,"[113.56296666666667, 22.871695]",6.40E-05
3593,KENDARI,"[122.517305, -3.830268333333333]",BAOSHAN,"[121.4827, 31.446695]",5.79E-05
3594,KENDARI,"[122.517305, -3.830268333333333]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000787097
3595,KENDARI,"[122.517305, -3.830268333333333]",CHIWAN,"[113.8946, 22.455883333333333]",0.000724285
3596,KENDARI,"[122.517305, -3.830268333333333]",NANSHA,"[113.68256166666667, 22.643306666666668]",6.01E-05
3597,KENDARI,"[122.517305, -3.830268333333333]",NINGBO,"[121.89526166666667, 29.93238]",0.000180045
3598,NOUMEA,"[166.127, -22.344883333333332]",XINGANG,"[113.50651666666667, 23.054016666666666]",7.61E-05
3599,NOUMEA,"[166.127, -22.344883333333332]",XINSHA,"[113.545415, 22.974033333333335]",4.14E-05
3600,NOUMEA,"[166.127, -22.344883333333332]",DALIAN,"[121.98408, 38.90600333333333]",5.07E-05
3601,NOUMEA,"[166.127, -22.344883333333332]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.001589705
3602,NOUMEA,"[166.127, -22.344883333333332]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000149038
3603,NOUMEA,"[166.127, -22.344883333333332]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000136151
3604,NOUMEA,"[166.127, -22.344883333333332]",HUMEN,"[113.56296666666667, 22.871695]",3.61E-05
3605,NOUMEA,"[166.127, -22.344883333333332]",YANTIAN,"[114.26794666666666, 22.57345]",6.52E-05
3606,NOUMEA,"[166.127, -22.344883333333332]",SHANGHAI,"[121.7305, 31.308273333333332]",8.81E-05
3607,NOUMEA,"[166.127, -22.344883333333332]",CHIWAN,"[113.8946, 22.455883333333333]",0.000754592
3608,NOUMEA,"[166.127, -22.344883333333332]",NINGBO,"[121.89526166666667, 29.93238]",0.000817159
3609,BARRY,"[-3.4450166666666666, 51.326283333333336]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000164683
3610,BARRY,"[-3.4450166666666666, 51.326283333333336]",DALIAN,"[121.98408, 38.90600333333333]",2.11E-05
3611,BARRY,"[-3.4450166666666666, 51.326283333333336]",QINGDAO,"[120.25705666666667, 36.08946666666667]",9.17E-06
3612,BARRY,"[-3.4450166666666666, 51.326283333333336]",SHANGHAI,"[121.7305, 31.308273333333332]",3.62E-05
3613,BARRY,"[-3.4450166666666666, 51.326283333333336]",CHIWAN,"[113.8946, 22.455883333333333]",0.000101496
3614,BARRY,"[-3.4450166666666666, 51.326283333333336]",NANSHA,"[113.68256166666667, 22.643306666666668]",4.53E-05
3615,SAGUNTO,"[-0.213075, 39.654106666666664]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",6.37E-06
3616,SAGUNTO,"[-0.213075, 39.654106666666664]",XINGANG,"[113.50651666666667, 23.054016666666666]",9.05E-06
3617,SAGUNTO,"[-0.213075, 39.654106666666664]",DALIAN,"[121.98408, 38.90600333333333]",8.83E-07
3618,SAGUNTO,"[-0.213075, 39.654106666666664]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000911059
3619,SAGUNTO,"[-0.213075, 39.654106666666664]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000833555
3620,SAGUNTO,"[-0.213075, 39.654106666666664]",QINGDAO,"[120.25705666666667, 36.08946666666667]",4.29E-05
3621,SAGUNTO,"[-0.213075, 39.654106666666664]",BAOSHAN,"[121.4827, 31.446695]",2.51E-06
3622,SAGUNTO,"[-0.213075, 39.654106666666664]",YANTIAN,"[114.26794666666666, 22.57345]",0.001438088
3623,SAGUNTO,"[-0.213075, 39.654106666666664]",SHANGHAI,"[121.7305, 31.308273333333332]",1.14E-05
3624,SAGUNTO,"[-0.213075, 39.654106666666664]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000154934
3625,SAGUNTO,"[-0.213075, 39.654106666666664]",CHIWAN,"[113.8946, 22.455883333333333]",0.000285941
3626,SAGUNTO,"[-0.213075, 39.654106666666664]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000643551
3627,SAGUNTO,"[-0.213075, 39.654106666666664]",NINGBO,"[121.89526166666667, 29.93238]",0.000609625
3628,KUSHIRO,"[144.32671166666665, 42.99702666666666]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",6.35E-05
3629,KUSHIRO,"[144.32671166666665, 42.99702666666666]",XINSHA,"[113.545415, 22.974033333333335]",1.60E-05
3630,KUSHIRO,"[144.32671166666665, 42.99702666666666]",DALIAN,"[121.98408, 38.90600333333333]",0.000668152
3631,KUSHIRO,"[144.32671166666665, 42.99702666666666]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000764385
3632,KUSHIRO,"[144.32671166666665, 42.99702666666666]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.001705524
3633,KUSHIRO,"[144.32671166666665, 42.99702666666666]",HUMEN,"[113.56296666666667, 22.871695]",4.01E-05
3634,KUSHIRO,"[144.32671166666665, 42.99702666666666]",BAOSHAN,"[121.4827, 31.446695]",5.36E-05
3635,KUSHIRO,"[144.32671166666665, 42.99702666666666]",SHANGHAI,"[121.7305, 31.308273333333332]",0.001675798
3636,KUSHIRO,"[144.32671166666665, 42.99702666666666]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.001884423
3637,KUSHIRO,"[144.32671166666665, 42.99702666666666]",CHIWAN,"[113.8946, 22.455883333333333]",0.000553516
3638,KUSHIRO,"[144.32671166666665, 42.99702666666666]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000108238
3639,KUSHIRO,"[144.32671166666665, 42.99702666666666]",NINGBO,"[121.89526166666667, 29.93238]",0.000112153
3640,IMARI,"[129.8158, 33.3461]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",4.93E-05
3641,IMARI,"[129.8158, 33.3461]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",6.10E-07
3642,IMARI,"[129.8158, 33.3461]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.002865547
3643,IMARI,"[129.8158, 33.3461]",XINSHA,"[113.545415, 22.974033333333335]",5.27E-06
3644,IMARI,"[129.8158, 33.3461]",DALIAN,"[121.98408, 38.90600333333333]",7.31E-05
3645,IMARI,"[129.8158, 33.3461]",ZHOUSHAN,"[122.10661333333333, 29.904]",7.59E-05
3646,IMARI,"[129.8158, 33.3461]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000109139
3647,IMARI,"[129.8158, 33.3461]",HUMEN,"[113.56296666666667, 22.871695]",2.49E-05
3648,IMARI,"[129.8158, 33.3461]",BAOSHAN,"[121.4827, 31.446695]",4.95E-06
3649,IMARI,"[129.8158, 33.3461]",YANTIAN,"[114.26794666666666, 22.57345]",6.68E-05
3650,IMARI,"[129.8158, 33.3461]",GUANGZHOU,"[113.43307, 23.090493333333335]",5.07E-06
3651,IMARI,"[129.8158, 33.3461]",SHANGHAI,"[121.7305, 31.308273333333332]",9.78E-05
3652,IMARI,"[129.8158, 33.3461]",CHIWAN,"[113.8946, 22.455883333333333]",0.003022208
3653,IMARI,"[129.8158, 33.3461]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.000209407
3654,IMARI,"[129.8158, 33.3461]",NINGBO,"[121.89526166666667, 29.93238]",7.65E-05
3655,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",DALIAN,"[121.98408, 38.90600333333333]",8.98E-05
3656,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000214066
3657,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.000515776
3658,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.000359012
3659,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",YANTIAN,"[114.26794666666666, 22.57345]",0.000277062
3660,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",SHANGHAI,"[121.7305, 31.308273333333332]",0.000535118
3661,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000317795
3662,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",CHIWAN,"[113.8946, 22.455883333333333]",9.66E-05
3663,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",NANSHA,"[113.68256166666667, 22.643306666666668]",5.07E-05
3664,CUXHAVEN,"[8.714623333333334, 53.868006666666666]",NINGBO,"[121.89526166666667, 29.93238]",0.000432094
3665,PORT KAISER,"[-77.60485333333334, 17.859653333333334]",DALIAN,"[121.98408, 38.90600333333333]",5.16E-06
3666,PORT KAISER,"[-77.60485333333334, 17.859653333333334]",ZHOUSHAN,"[122.10661333333333, 29.904]",4.87E-05
3667,PORT KAISER,"[-77.60485333333334, 17.859653333333334]",CHIWAN,"[113.8946, 22.455883333333333]",0.000284005
3668,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",LUHUASHAN ANCHORAGE,"[121.559435, 31.30684]",1.40E-05
3669,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.001604478
3670,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",DALIAN,"[121.98408, 38.90600333333333]",4.81E-05
3671,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.002352601
3672,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",YANGSHAN,"[122.08211666666666, 30.608516666666667]",0.003555626
3673,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",QINGDAO,"[120.25705666666667, 36.08946666666667]",0.001850123
3674,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",YANTIAN,"[114.26794666666666, 22.57345]",0.000868513
3675,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",SHANGHAI,"[121.7305, 31.308273333333332]",0.001346983
3676,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",MEI SHAN,"[122.00061666666667, 29.766583333333333]",0.000677609
3677,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",CHIWAN,"[113.8946, 22.455883333333333]",0.002730596
3678,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",NANSHA,"[113.68256166666667, 22.643306666666668]",0.007075684
3679,POINTE NOIRE,"[11.774383333333333, -4.748406666666667]",NINGBO,"[121.89526166666667, 29.93238]",0.010733339
3680,PLAJU,"[104.844845, -2.9847183333333334]",SHAJIAO,"[113.68187666666667, 22.713503333333332]",2.23E-05
3681,PLAJU,"[104.844845, -2.9847183333333334]",XINGANG,"[113.50651666666667, 23.054016666666666]",0.000122148
3682,PLAJU,"[104.844845, -2.9847183333333334]",XINSHA,"[113.545415, 22.974033333333335]",1.13E-05
3683,PLAJU,"[104.844845, -2.9847183333333334]",DALIAN,"[121.98408, 38.90600333333333]",1.74E-05
3684,PLAJU,"[104.844845, -2.9847183333333334]",ZHOUSHAN,"[122.10661333333333, 29.904]",0.000125245
3685,PLAJU,"[104.844845, -2.9847183333333334]",QINGDAO,"[120.25705666666667, 36.08946666666667]",6.84E-05
3686,PLAJU,"[104.844845, -2.9847183333333334]",HUMEN,"[113.56296666666667, 22.871695]",4.14E-05
3687,PLAJU,"[104.844845, -2.9847183333333334]",GUANGZHOU,"[113.43307, 23.090493333333335]",1.87E-05
3688,PLAJU,"[104.844845, -2.9847183333333334]",SHANGHAI,"[121.7305, 31.308273333333332]",0.00012426
3689,PLAJU,"[104.844845, -2.9847183333333334]",CHIWAN,"[113.8946, 22.455883333333333]",0.000117352
3690,PLAJU,"[104.844845, -2.9847183333333334]",NANSHA,"[113.68256166666667, 22.643306666666668]",2.22E-05
3691,BORDEAUX,"[-0.5654833333333333, 45.00602833333333]",NINGBO,"[121.89526166666667, 29.93238]",5.97E-05
